entry_index,word_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
920,261,0,3,0,2,6,3,2,7,14,5
933,78,0,1,0,0,0,0,0,0,3,0
954,227,0,4,0,0,7,1,2,7,15,1
968,60,2,0,2,4,0,4,0,0,1,4
979,5,0,0,0,0,0,0,0,0,0,0
1000,38,0,0,0,0,0,0,0,1,1,0
1021,31,0,0,0,0,2,1,1,2,3,0
1037,345,1,4,1,1,3,1,2,1,4,1
1055,457,2,18,0,3,14,4,11,17,23,7
1072,337,0,5,0,0,5,0,3,7,17,1
1089,11,0,0,0,0,0,0,0,0,0,0
1101,68,0,1,0,0,0,0,0,0,3,0
1114,114,2,1,1,2,1,2,1,1,7,3
1130,34,0,0,0,0,0,0,0,0,1,0
1158,351,1,5,0,1,6,1,8,4,7,1
1172,19,0,1,0,0,0,0,0,0,0,0
1190,349,3,5,3,3,5,7,3,9,10,7
1205,65,0,1,0,0,0,0,0,0,3,0
1222,22,0,0,0,0,0,0,0,0,2,0
1240,98,1,0,1,1,4,1,3,5,6,2
1254,10,0,0,0,0,0,0,0,0,0,0
1276,55,1,0,0,0,0,0,0,0,1,1
1291,5,0,0,0,0,0,0,0,0,0,0
1311,40,1,0,0,2,0,2,0,0,0,2
1325,290,0,6,1,1,8,1,1,12,15,2
1343,5,0,0,0,0,0,0,0,0,0,0
1366,29,0,0,0,0,0,0,0,0,0,0
1382,99,0,1,0,0,0,0,0,0,4,0
1399,92,0,1,0,2,3,0,1,5,6,0
1410,263,0,4,0,2,2,0,0,4,11,2
1424,21,0,0,0,1,0,0,0,0,0,0
1441,177,1,4,0,2,3,1,2,11,10,2
1462,315,5,9,3,4,8,3,5,8,17,4
1482,195,2,4,0,2,3,2,2,2,11,4
1498,12,0,0,0,0,0,0,0,0,0,0
1516,38,0,0,0,0,1,1,0,1,1,1
1532,81,2,0,2,2,0,2,0,0,1,4
1552,14,0,1,0,1,1,0,0,1,2,1
1572,336,2,6,2,2,7,2,3,11,18,3
1586,173,0,3,0,1,1,0,1,1,5,3
1601,138,0,2,1,2,1,1,0,2,4,1
1621,22,0,0,0,1,0,1,0,0,0,1
1648,7,0,0,0,0,0,0,0,0,1,0
1664,157,3,4,1,3,3,2,2,6,7,3
1667,11,0,0,0,0,0,0,0,0,0,0
1671,24,0,0,0,0,0,0,0,1,1,0
1713,40,0,0,0,0,0,1,1,1,1,1
1732,502,4,9,2,8,6,8,3,11,18,11
1736,14,0,0,0,0,0,0,0,0,0,0
1768,27,0,0,0,0,0,0,0,0,2,0
1774,198,0,4,0,0,2,0,0,3,4,1
1781,266,3,4,2,3,4,5,2,7,7,8
1790,435,3,12,1,1,7,2,2,8,21,4
1799,20,0,0,0,0,0,0,0,0,0,0
1816,14,0,0,0,0,0,0,0,0,0,0
1838,191,0,2,0,0,1,1,1,0,3,0
1846,85,0,1,0,0,2,0,0,2,5,0
1862,217,0,2,0,0,0,1,1,1,6,3
1881,35,0,0,0,0,0,0,0,0,0,0
1902,287,0,4,1,0,5,0,5,3,14,1
1914,147,1,6,1,1,3,2,3,3,7,3
1922,207,0,1,0,0,2,0,1,2,6,0
1931,75,2,1,1,1,1,0,0,1,2,1
1938,29,0,0,0,0,0,0,0,0,0,0
1945,5,0,0,0,0,0,0,0,0,0,0
1959,394,2,3,2,2,6,2,4,5,10,2
1976,318,7,3,4,7,2,7,1,4,7,9
1982,135,1,1,1,1,3,1,1,4,6,1
2010,24,1,0,1,1,0,0,1,0,1,1
2028,34,2,1,0,0,1,0,1,1,1,1
2054,73,1,2,1,1,2,1,1,1,4,0
2081,142,2,2,2,3,0,2,1,1,3,2
2101,17,0,0,0,0,0,0,0,0,1,0
2122,33,0,0,0,0,0,0,0,0,1,0
2145,374,2,1,0,1,1,1,1,3,8,3
2162,45,0,2,0,0,4,0,2,4,4,1
2180,335,1,5,0,2,5,1,2,5,13,5
2194,212,0,4,1,0,2,0,0,3,9,4
2207,18,0,1,0,0,1,0,0,1,2,0
2227,322,3,4,1,2,5,1,3,6,14,3
2236,258,0,1,0,0,3,1,0,2,5,0
2244,126,0,0,1,3,0,2,0,1,0,3
2253,512,0,7,2,1,5,2,1,7,16,1
2262,288,0,5,0,1,7,0,1,9,13,3
2272,109,0,4,0,1,3,0,0,4,4,1
2290,177,0,2,0,1,2,2,0,2,2,2
2305,139,0,2,0,0,1,0,0,1,3,1
2323,5,0,0,0,0,0,0,0,0,0,0
2345,167,2,1,0,0,1,0,1,1,10,2
2352,186,1,4,2,3,1,1,0,2,9,3
2361,31,0,0,0,0,1,1,0,0,1,1
2373,173,1,2,1,1,2,1,1,4,9,1
2380,207,2,3,0,0,2,0,2,5,8,1
2387,37,0,0,0,0,0,1,0,0,0,1
2397,120,3,2,3,3,4,3,1,5,6,3
2403,21,0,0,0,1,0,0,0,0,0,1
2412,53,1,1,1,1,0,1,0,1,2,1
2422,53,1,0,0,1,0,1,0,2,6,2
2431,81,0,0,1,1,0,0,0,1,2,1
2452,320,0,2,0,1,0,3,0,3,7,3
2475,208,0,0,2,0,0,0,1,6,11,2
2498,143,0,5,0,0,3,1,2,4,6,1
2515,5,0,0,0,0,0,0,0,0,0,0
2540,180,0,0,0,0,0,0,0,2,4,1
2559,105,2,1,1,1,1,1,0,3,4,2
2574,117,0,2,0,1,1,1,2,0,4,1
2585,96,1,1,1,2,0,2,0,0,4,2
2602,433,4,4,4,5,6,5,1,8,10,5
2616,89,2,1,1,1,0,1,0,1,5,2
2631,180,5,3,4,10,1,4,0,7,5,8
2642,137,1,2,1,2,2,1,4,3,7,4
2649,87,0,1,0,0,0,1,0,1,4,1
2658,230,0,6,1,0,4,1,1,5,8,1
2666,232,3,1,5,3,3,7,2,4,4,7
2674,157,0,0,1,1,1,0,0,1,1,1
2681,232,0,5,0,3,6,1,3,6,11,4
2688,53,0,0,0,0,0,0,0,0,1,0
2707,5,0,0,0,0,0,0,0,0,0,0
2724,6,0,0,0,0,0,0,0,0,1,0
2745,169,1,2,1,2,0,1,0,0,4,5
2761,22,0,0,0,0,0,0,0,0,2,0
2782,49,0,2,0,1,1,0,0,1,1,0
2786,24,0,1,0,3,0,0,0,0,1,3
2794,13,0,0,0,0,0,1,0,0,1,1
2809,18,0,0,0,0,0,0,0,0,0,1
2818,63,0,1,0,0,0,0,0,0,0,0
2823,387,3,5,3,3,4,2,2,6,14,6
2830,5,0,0,0,0,0,0,0,0,0,0
2851,16,0,0,0,0,0,0,0,1,0,0
2857,5,0,0,0,0,0,0,0,0,0,0
2865,16,0,0,0,0,0,0,0,0,0,0
2868,30,0,0,0,0,0,0,0,1,1,0
2873,2,0,0,0,0,0,0,0,0,0,0
2878,5,0,0,0,0,0,0,0,0,0,0
2894,13,0,0,0,0,0,0,0,0,0,0
2898,27,0,0,0,0,1,0,0,1,3,0
2928,281,3,4,0,5,1,2,3,2,5,4
2947,127,2,4,0,1,2,1,1,3,6,2
2954,138,3,1,3,3,1,3,0,4,4,4
2957,87,0,0,0,3,3,1,0,3,3,2
2967,166,0,1,1,0,3,1,0,2,11,1
